symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
PDE4B,-0.8223938223938224,1,0.0
MMP8,0.6592388306674022,0,0.0
ZNF629,-0.9013789299503584,,0.0
COG8,0.4619966905681192,,0.0
TSPO,0.9024820739106454,,0.0
PRDX1,0.5334804191947049,,0.0717994609339455
CAPN2,0.1064533921676778,,0.0155277495751679
CANX,-0.9107556536127964,,0.0
BRSK2,-0.8373965802537231,,0.0689771358735829
NOC3L,0.2012134583563154,,0.0
FLNA,0.0,,0.0
CTSL,-0.0636514065085493,1,0.0
PTGS1,-0.253392167677882,1,0.0
ULK1,-0.5549917264202979,1,0.0
PTPRA,-0.916492002206288,,0.0710050256327766
ZKSCAN1,-0.780584666298952,,0.0
FOSL1,0.0028681742967457,,0.0
GOT1,-0.44853833425262,,0.091187111809584
MMP1,0.5011583011583012,0,0.0
NR3C1,-0.8916712630998346,1,0.0
STAT4,-0.6848317705460563,,0.1355965758913351
CAST,0.0,,0.0
CAST,0.3983452840595698,,0.0
CCDC6,-0.6185328185328185,,0.0274709570166805
NOX4,0.0897959183673469,,0.0
CAPN1,0.0143408714837285,0,0.0
TTK,-0.483177054605626,1,0.0
SREBF1,-0.4888030888030887,,0.0
LILRB2,-0.1819084390512961,,0.0
PFKP,0.4955322669608384,,0.0
CDC25A,-0.7012686155543298,,0.0
EMC4,-0.4271373414230557,,0.033033367736202
SLC35C1,-0.4853833425261996,,0.0
SPTLC2,-0.6957528957528958,,0.0
B4GALT1,-0.3825703254274682,,0.0
ACSL4,0.0,,0.0
NGLY1,0.0687258687258687,,0.0260548313964244
PPP3CC,-0.3362382790954219,,0.0
PECAM1,0.0,,0.0790197443453969
FOXK1,-0.4862658576944291,,0.0
LMNB1,-0.6317705460562604,,0.0
MELK,0.2273579702151131,1,0.0
PTPRO,-0.6747931605074462,,0.0443603609948522
RAD51C,0.2986210700496414,,0.0437264299773896
NFKB2,-0.8805295091009376,,0.0
FASTK,-0.444677330391616,,0.0
CAPNS1,0.3706563706563706,,0.0775575325350673
NDUFB6,0.9526751241036956,,0.0368259896107789
HINFP,-0.6839492553778268,,0.0
MMP13,0.1783783783783783,1,0.0
GOLGA2,-0.787534473248759,,0.0494153480793659
ATF5,0.7394373965802536,,0.0
MMP7,0.2241588527302813,,0.0
VEZF1,-0.9709873138444568,,0.0
CDC25C,0.3538885824600111,0,0.0
ZNF827,-0.9579702151130722,,0.0736777985021432
ABCC9,-0.6240485383342527,,0.0
PFKL,0.1093215664644235,,0.0
RIN3,-0.183342526199669,,0.0
CAPNS2,0.2559293987865416,,0.0
KAT7,-0.9056811913954772,1,0.0
BRD8,-0.6354109211252068,,0.0
PRKAB1,-0.3555432984004413,,0.0
CDC5L,-0.9166023166023166,,0.0
CTSH,0.4760066188637617,,0.0176832905379241
SLC36A1,-0.3857694429123001,,0.0
SLC7A14,-0.319580805295091,,0.0759945970079036
DLX2,-0.6563706563706564,,0.0
NDUFB10,0.7256480970766686,,0.0
CYB5R4,-0.2616657473800331,,0.0
GTF2I,-0.9594043022614452,,0.0
ZC3H8,0.1078874793160507,,0.0
PSKH1,-0.4218422504136789,,0.0
VARS2,-0.277661334804192,,0.0
CXXC1,-0.826696083838941,,0.0
NVL,-0.1329288472145615,,0.0
CDYL,-0.8926640926640926,,0.0
TIMM44,-0.3547710976282404,,0.0
MAP2K4,-0.9463872035300608,1,0.0750376407995767
PTPRJ,0.1377826806398234,,0.0549816758904566
MLPH,-0.1942636514065086,,0.0
PPP2R1A,-0.8499724214009928,,0.0362152064650724
SLC39A10,-0.8643132928847215,,0.0879994475808189
PTPRS,-0.8167677881963596,,0.0
MAPT,-0.4056260341974628,1,0.0
GNPAT,-0.605515719801434,,0.0
MAP2K7,-0.7361279646993932,1,0.0
PICK1,-0.3337010479867622,,0.0
LILRA5,0.2222835079977936,,0.0
ESR1,-0.734142305570877,1,0.0
ADRB3,0.9806949806949808,1,0.0
LRRC25,-0.6130170987313844,,0.0
MPRIP,-0.8976282404853834,,0.0306818197572378
MTFR1,-0.1452840595697738,,0.0
CTDSP1,-0.4555984555984556,,0.0
CCDC88A,-0.9235521235521236,,0.0821135497524987
MRPL35,0.4644236072807501,,0.0
S100A4,0.2829564258135686,,0.0108655065784588
ILF3,-0.8797573083287369,,0.0
ATOH8,-0.2955322669608383,,0.0
APOB,-0.6480970766685052,,0.0
MS4A6E,0.1548814120242692,,0.0
USP6NL,-0.4265857694429122,,0.0
COX7B,0.0,,0.0
ABHD6,0.1784886927744071,1,0.0
PDGFRB,-0.6833976833976834,1,0.0
DNPEP,-0.0084942084942084,,0.0
LRRK2,-0.319249862107005,1,0.0
