id_farmaco,num_apariciones,lista_dianas,potencia_media,nombre
CHEMBL3942279,4,['BACE1'],7.657500000000001,Sin nombre
CHEMBL3940040,4,['BACE1'],7.5649999999999995,Sin nombre
CHEMBL3974975,4,['BACE1'],7.2299999999999995,Sin nombre
CHEMBL3979334,4,['BACE1'],7.0525,Sin nombre
CHEMBL3959097,4,['BACE1'],7.43,Sin nombre
CHEMBL3962901,4,['BACE1'],7.285,Sin nombre
CHEMBL3966313,4,['BACE1'],7.47,Sin nombre
CHEMBL3965844,4,['BACE1'],8.47,Sin nombre
CHEMBL6018938,4,['BACE1'],8.4725,Sin nombre
CHEMBL12089,4,['ACHE'],6.12,BERBERINE CHLORIDE
CHEMBL60119,4,['ACHE'],7.0,Sin nombre
CHEMBL571860,4,['BACE1'],7.33,Sin nombre
CHEMBL5754022,4,['BACE1'],8.455,Sin nombre
CHEMBL1206,4,['ACHE'],6.55,ETHOPROPAZINE
CHEMBL302842,4,['ACHE'],6.4575,Sin nombre
CHEMBL244416,4,"['ACHE', 'BACE1']",7.4625,Sin nombre
CHEMBL270359,4,['BACE1'],7.5600000000000005,Sin nombre
CHEMBL270153,4,['BACE1'],6.755,Sin nombre
CHEMBL269538,4,"['ACHE', 'GSK3B']",5.0975,HARMINE
CHEMBL288064,4,['GSK3B'],6.3325,Sin nombre
CHEMBL5924314,4,['BACE1'],6.83,Sin nombre
CHEMBL5945710,4,['BACE1'],6.5925,Sin nombre
CHEMBL5963873,4,['BACE1'],7.720000000000001,Sin nombre
CHEMBL59977,4,['ACHE'],5.52,Sin nombre
CHEMBL3971782,4,['BACE1'],5.72,Sin nombre
CHEMBL94059,4,['ACHE'],5.585,Sin nombre
CHEMBL93936,4,['ACHE'],9.1,Sin nombre
CHEMBL93241,4,['ACHE'],6.550000000000001,Sin nombre
CHEMBL95020,4,['ACHE'],8.44,Sin nombre
CHEMBL99779,3,['GSK3B'],5.0,PAULLONE
CHEMBL61986,3,['ACHE'],6.336666666666666,Sin nombre
CHEMBL106072,3,['GSK3B'],5.7,Sin nombre
CHEMBL105712,3,['GSK3B'],4.3,PHENACYL CHLORIDE
CHEMBL3971961,3,['BACE1'],6.32,Sin nombre
CHEMBL111620,3,['GSK3B'],7.580000000000001,Sin nombre
CHEMBL109981,3,['GSK3B'],8.15,Sin nombre
CHEMBL61486,3,['ACHE'],5.419999999999999,Sin nombre
CHEMBL61221,3,['ACHE'],6.89,Sin nombre
CHEMBL74257,3,['ACHE'],6.34,Sin nombre
CHEMBL258939,3,"['BACE1', 'GSK3B']",5.053333333333334,NOTOPTEROL
CHEMBL258068,3,['BACE1'],6.363333333333333,Sin nombre
CHEMBL257871,3,['BACE1'],6.433333333333334,Sin nombre
CHEMBL24686,3,['ACHE'],8.146666666666667,TERRITREM B
CHEMBL254068,3,['BACE1'],6.47,Sin nombre
CHEMBL592433,3,['ACHE'],4.52,Sin nombre
CHEMBL5949355,3,['BACE1'],7.41,Sin nombre
CHEMBL597233,3,['BACE1'],5.57,Sin nombre
CHEMBL59782,3,['ACHE'],7.886666666666667,Sin nombre
CHEMBL598876,3,['BACE1'],6.89,Sin nombre
CHEMBL6009419,3,['BACE1'],7.56,Sin nombre
CHEMBL3954714,3,['BACE1'],5.7,Sin nombre
CHEMBL3954597,3,['BACE1'],7.0,Sin nombre
CHEMBL3954200,3,['BACE1'],6.71,Sin nombre
CHEMBL3953528,3,['BACE1'],6.419999999999999,Sin nombre
CHEMBL3953496,3,['BACE1'],6.87,Sin nombre
CHEMBL3957841,3,['BACE1'],8.05,Sin nombre
CHEMBL3956802,3,['BACE1'],6.963333333333334,Sin nombre
CHEMBL2030998,3,['BACE1'],8.163333333333334,Sin nombre
CHEMBL2030996,3,['BACE1'],8.913333333333334,Sin nombre
CHEMBL3959903,3,['BACE1'],6.34,Sin nombre
CHEMBL3964102,3,['BACE1'],7.239999999999999,Sin nombre
CHEMBL3963139,3,['BACE1'],7.19,Sin nombre
CHEMBL3962473,3,['BACE1'],6.43,Sin nombre
CHEMBL3962126,3,['BACE1'],7.0,Sin nombre
CHEMBL3961886,3,['BACE1'],7.87,Sin nombre
CHEMBL3961260,3,['BACE1'],6.77,Sin nombre
CHEMBL3947373,3,['BACE1'],4.44,Sin nombre
CHEMBL3971363,3,['BACE1'],8.41,Sin nombre
CHEMBL3974295,3,['BACE1'],7.28,Sin nombre
CHEMBL3973408,3,['BACE1'],7.169999999999999,Sin nombre
CHEMBL3973335,3,['BACE1'],6.84,Sin nombre
CHEMBL3977620,3,['BACE1'],6.73,Sin nombre
CHEMBL3977470,3,['BACE1'],7.523333333333333,Sin nombre
CHEMBL3975536,3,['BACE1'],6.55,Sin nombre
CHEMBL3975135,3,['BACE1'],7.57,Sin nombre
CHEMBL3980484,3,['BACE1'],8.7,Sin nombre
CHEMBL3980458,3,['BACE1'],5.37,Sin nombre
CHEMBL3980437,3,['BACE1'],8.1,Sin nombre
CHEMBL1957085,3,['GSK3B'],6.3999999999999995,Sin nombre
CHEMBL195241,3,['ACHE'],8.39,Sin nombre
CHEMBL3979493,3,['BACE1'],4.71,Sin nombre
CHEMBL3952491,3,['BACE1'],7.599999999999999,Sin nombre
CHEMBL3936965,3,['BACE1'],5.23,Sin nombre
CHEMBL3939788,3,['BACE1'],6.86,Sin nombre
CHEMBL3938762,3,['BACE1'],6.38,Sin nombre
CHEMBL3938356,3,['BACE1'],5.39,Sin nombre
CHEMBL3938206,3,['BACE1'],6.63,Sin nombre
CHEMBL3940148,3,['BACE1'],6.55,Sin nombre
CHEMBL3944174,3,['BACE1'],6.760000000000001,Sin nombre
CHEMBL3944166,3,['BACE1'],6.31,Sin nombre
CHEMBL3943893,3,['BACE1'],7.13,Sin nombre
CHEMBL3946217,3,['BACE1'],6.510000000000001,Sin nombre
CHEMBL3945730,3,['BACE1'],6.916666666666667,Sin nombre
CHEMBL3945110,3,['BACE1'],6.8933333333333335,Sin nombre
CHEMBL3951352,3,['BACE1'],5.349999999999999,Sin nombre
CHEMBL3949349,3,['BACE1'],5.669999999999999,Sin nombre
CHEMBL3948402,3,['BACE1'],6.36,Sin nombre
CHEMBL3948054,3,['BACE1'],7.010000000000001,Sin nombre
CHEMBL3923755,3,['BACE1'],4.47,Sin nombre
CHEMBL3923021,3,['BACE1'],6.8,Sin nombre
CHEMBL3925553,3,['BACE1'],7.886666666666667,Sin nombre
CHEMBL3925344,3,['BACE1'],8.03,Sin nombre
CHEMBL3929173,3,['BACE1'],8.3,Sin nombre
CHEMBL3929053,3,['BACE1'],6.89,Sin nombre
CHEMBL3928689,3,['BACE1'],6.669999999999999,Sin nombre
CHEMBL3928450,3,['BACE1'],8.299999999999999,Sin nombre
CHEMBL3927854,3,['BACE1'],6.34,Sin nombre
CHEMBL3933228,3,['BACE1'],7.523333333333333,Sin nombre
CHEMBL3932919,3,['BACE1'],7.09,Sin nombre
CHEMBL3932733,3,['BACE1'],5.88,Sin nombre
CHEMBL3930777,3,['BACE1'],6.21,Sin nombre
CHEMBL3929412,3,['BACE1'],5.7,Sin nombre
CHEMBL3934938,3,['BACE1'],8.05,Sin nombre
CHEMBL3937329,3,['BACE1'],7.919999999999999,Sin nombre
CHEMBL3978446,3,['BACE1'],4.87,Sin nombre
CHEMBL3978126,3,['BACE1'],7.82,Sin nombre
CHEMBL3983383,3,['BACE1'],5.669999999999999,Sin nombre
CHEMBL3983234,3,['BACE1'],6.98,Sin nombre
CHEMBL1923297,3,['BACE1'],7.516666666666667,Sin nombre
CHEMBL1923296,3,['BACE1'],5.663333333333334,Sin nombre
CHEMBL1923295,3,['BACE1'],6.71,Sin nombre
CHEMBL1923294,3,['BACE1'],6.546666666666667,Sin nombre
CHEMBL1923160,3,['BACE1'],7.12,Sin nombre
CHEMBL3982045,3,['BACE1'],7.46,Sin nombre
